panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7c,LiCl,methanol,33.05,26.0,-7.049999999999997,0.25589000808447776,0.21594721929574465,-0.2159426544245087,0.5022674782984327
7c,LiCl,methanol,33.05,26.25,-6.799999999999997,0.2493620022537715,0.2099663891577395,-0.20996188934572568,0.49132431500919316
7c,LiCl,methanol,33.05,26.5,-6.549999999999997,0.2428235497014887,0.20397107518447982,-0.20396663890090397,0.4803616826930603
7c,LiCl,methanol,33.05,26.75,-6.299999999999997,0.2362778008643728,0.19796361411460126,-0.1979592398786061,0.4693844221526349
7c,LiCl,methanol,33.05,27.0,-6.049999999999997,0.22972786416739174,0.19194626339577467,-0.19194194977438056,0.45839719609434687
7c,LiCl,methanol,33.05,27.25,-5.799999999999997,0.22317681399261205,0.1859212020767037,-0.18591694768286315,0.44740449123323167
7c,LiCl,methanol,33.05,27.5,-5.549999999999997,0.2166276999832414,0.17989053182363432,-0.17988633531430664,0.436410620722383
7c,LiCl,methanol,33.05,27.75,-5.299999999999997,0.2100835579055306,0.17385627805854564,-0.1738521381329684,0.4254197268589607
7c,LiCl,methanol,33.05,28.0,-5.049999999999997,0.2035474223504435,0.16782039120485212,-0.16781630660281513,0.41443578407727527
7c,LiCl,methanol,33.05,28.25,-4.799999999999997,0.1970223415902461,0.16178474801318085,-0.16178071751340323,0.4034626021213515
7c,LiCl,methanol,33.05,28.5,-4.549999999999997,0.19051139504116507,0.15575115296717568,-0.15574717538578928,0.3925038294221119
7c,LiCl,methanol,33.05,28.75,-4.299999999999997,0.1840177138589534,0.14972133975319493,-0.14971741394230745,0.38156295662178796
7c,LiCl,methanol,33.05,29.0,-4.049999999999997,0.1775445053505349,0.1436969727776421,-0.14369309762390314,0.37064332022139534
7c,LiCl,methanol,33.05,29.25,-3.799999999999997,0.17109508207991866,0.13767964873639366,-0.13767582315970014,0.3597481063482285
7c,LiCl,methanol,33.05,29.5,-3.549999999999997,0.16467289674796068,0.13167089820770253,-0.13166712115991167,0.34888035455631494
7c,LiCl,methanol,33.05,29.75,-3.299999999999997,0.1582815842870157,0.12567218728292281,-0.12566845774666643,0.3380429617622577
7c,LiCl,methanol,33.05,30.0,-3.049999999999997,0.15192501293967653,0.11968491919932896,-0.1196812361868169,0.32723868613372875
7c,LiCl,methanol,33.05,30.25,-2.799999999999997,0.1456073467097969,0.11371043600381033,-0.1137067985558072,0.31647015105608167
7c,LiCl,methanol,33.05,30.5,-2.549999999999997,0.13933312217369082,0.10775002020765627,-0.10774642739237042,0.3057398490974622
7c,LiCl,methanol,33.05,30.75,-2.299999999999997,0.1331073436267769,0.1018048964462674,-0.10180134735836904,0.2950501459599505
7c,LiCl,methanol,33.05,31.0,-2.049999999999997,0.12693560172447646,0.09587623313795107,-0.09587272689761607,0.28440328441782414
7c,LiCl,methanol,33.05,31.25,-1.7999999999999972,0.12082422238780549,0.08996514413040026,-0.08996167988238267,0.2738013882224557
7c,LiCl,methanol,33.05,31.5,-1.5499999999999972,0.11478045488465297,0.08407269033076852,-0.08406926724353751,0.26324646599297397
7c,LiCl,methanol,33.05,31.75,-1.2999999999999972,0.10881271079071522,0.07819988133189222,-0.0781964985967921,0.252740415021109
7c,LiCl,methanol,33.05,32.0,-1.0499999999999972,0.1029308691424952,0.07251030088236586,-0.07234433383559101,0.2422850250715295
7c,LiCl,methanol,33.05,32.25,-0.7999999999999972,0.09714666769405916,0.06743988278411486,-0.06651368471116914,0.2318819820697018
7c,LiCl,methanol,33.05,32.5,-0.5499999999999972,0.09147420571459731,0.06238801712726614,-0.060705416389833296,0.2215328717997911
7c,LiCl,methanol,33.05,32.75,-0.29999999999999716,0.08593058979979978,0.0573554680957931,-0.05492034897686078,0.21123918344467574
7c,LiCl,methanol,33.05,33.0,-0.04999999999999716,0.08053675961569255,0.05234296028054167,-0.04915925901698619,0.20100231310091932
7c,LiCl,methanol,33.05,33.25,0.20000000000000284,0.0753185319122826,0.04735118000072163,-0.04342288097313254,0.1908235672743871
7c,LiCl,methanol,33.05,33.5,0.45000000000000284,0.07030789165347749,0.04247017814575889,-0.03771190866292955,0.18070416617092522
7c,LiCl,methanol,33.05,33.75,0.7000000000000028,0.06554452483421432,0.03904932867645096,-0.03202699666953961,0.17064524701199035
7c,LiCl,methanol,33.05,34.0,0.9500000000000028,0.0610775027200854,0.03570307881449194,-0.02636876172256344,0.16064786721800273
7c,LiCl,methanol,33.05,34.25,1.2000000000000028,0.05696685272528181,0.0336250795539787,-0.020737784047441296,0.15071300754892025
7c,LiCl,methanol,33.05,34.5,1.4500000000000028,0.053284441953092954,0.03318402224172546,-0.015134608676234623,0.14084157509805562
7c,LiCl,methanol,33.05,34.75,1.7000000000000028,0.05011315192914737,0.03354531448434632,-0.009559746728802625,0.13103440627489094
7c,LiCl,methanol,33.05,35.0,1.9500000000000028,0.047542890263139674,0.034309304271645955,-0.004013676663240767,0.12129226965472872
7c,LiCl,methanol,33.05,35.25,2.200000000000003,0.045662042674637714,0.03507386478907829,0.0015031545106743024,0.11161586875151375
7c,LiCl,methanol,33.05,35.5,2.450000000000003,0.04454427711304589,0.03583892292206457,0.006990330051665994,0.10200584473685947
7c,LiCl,methanol,33.05,35.75,2.700000000000003,0.044233472079521136,0.03717542157636922,0.012447462333692129,0.09246277903041478
7c,LiCl,methanol,33.05,36.0,2.950000000000003,0.04473246766494626,0.03932265040247692,0.017874191734638733,0.08298719586486036
7c,LiCl,methanol,33.05,36.25,3.200000000000003,0.04600121644378906,0.04146182332073239,0.02327018555230449,0.07357956469823346
7c,LiCl,methanol,33.05,36.5,3.450000000000003,0.047965451538291765,0.04359278908326422,0.02863513695393951,0.07274782613939101
7c,LiCl,methanol,33.05,36.75,3.700000000000003,0.050531519879594713,0.04571540416676027,0.03396876395246945,0.07651854012116233
7c,LiCl,methanol,33.05,37.0,3.950000000000003,0.053601117552301236,0.04782953252619462,0.039270808426188936,0.0802653640018377
7c,LiCl,methanol,33.05,37.25,4.200000000000003,0.05708182923700007,0.05120215583843802,0.04454103515695226,0.08398827015975174
7c,LiCl,methanol,33.05,37.5,4.450000000000003,0.06089264289254638,0.054792609084118225,0.0497792309020128,0.08768724085889484
7c,LiCl,methanol,33.05,37.75,4.700000000000003,0.06496559926162568,0.05836352036000765,0.054985203499452524,0.09136226778268586
7c,LiCl,methanol,33.05,38.0,4.950000000000003,0.0692451807483736,0.061914744689545026,0.06015878100015539,0.09501335158510632
7c,LiCl,methanol,33.05,38.25,5.200000000000003,0.07368669479022606,0.06544614958391361,0.06529981082679208,0.09864050148337877
7c,LiCl,methanol,33.05,38.5,5.450000000000003,0.07825440522338438,0.0704081589632539,0.0704081589632539,0.10224373483450994
7c,LiCl,methanol,33.05,38.75,5.700000000000003,0.08291978081238596,0.0754837091691606,0.0754837091691606,0.10582307674737418
7c,LiCl,methanol,33.05,39.0,5.950000000000003,0.0876600003535667,0.08052636222068235,0.08052636222068235,0.11030396876733373
7c,LiCl,methanol,33.05,39.25,6.200000000000003,0.09245673745940491,0.08553603518078186,0.08553603518078186,0.11621768039851033
7c,LiCl,methanol,33.05,39.5,6.450000000000003,0.09729519839879937,0.09051266069371211,0.09051266069371211,0.12209437499631126
7c,LiCl,methanol,33.05,39.75,6.700000000000003,0.10216337071805212,0.09545618629504245,0.09545618629504245,0.12793393636531336
7c,LiCl,methanol,33.05,40.0,6.950000000000003,0.10705144010776509,0.1003665737612922,0.1003665737612922,0.13373626610158962
