source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.05,0.7666,0.764953682901,0.021521788,2,1.0021521788,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.07,0.738,0.73578304865,0.021521788,2,1.00301305032,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.09,0.7158,0.713037747497,0.021521788,2,1.00387392184,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.1,0.7063,0.703272862111,0.021521788,2,1.0043043576,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.2,0.6442,0.638701599829,0.021521788,2,1.0086087152,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.3,0.6102,0.602420895125,0.021521788,2,1.0129130728,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.4,0.5889,0.578932273868,0.021521788,2,1.0172174304,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.5,0.5745,0.562396227617,0.021521788,2,1.021521788,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.6,0.5646,0.550385659814,0.021521788,2,1.0258261456,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.7,0.5576,0.541290640621,0.021521788,2,1.0301305032,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.8,0.5529,0.534494747762,0.021521788,2,1.0344348608,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,0.9,0.5497,0.529199235249,0.021521788,2,1.0387392184,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1,0.5476,0.525002035006,0.021521788,2,1.043043576,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.1,0.5465,0.521794126353,0.021521788,2,1.0473479336,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.2,0.546,0.519183008081,0.021521788,2,1.0516522912,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.3,0.5461,0.517161382165,0.021521788,2,1.0559566488,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.4,0.5465,0.515439119897,0.021521788,2,1.0602610064,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.5,0.5472,0.514012590024,0.021521788,2,1.064565364,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.6,0.5481,0.512784663017,0.021521788,2,1.0688697216,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.7,0.549,0.511566586112,0.021521788,2,1.0731740792,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.8,0.5501,0.510543859823,0.021521788,2,1.0774784368,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,1.9,0.5511,0.509436832285,0.021521788,2,1.0817827944,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.85,0.05,0.1,2,0.5521,0.508338579444,0.021521788,2,1.086087152,composition-columns
UNIFIED,,0.85,0.05,0.1,0.05,0.7666,0.764953682901,0.021521788,2,1.0021521788,unified
UNIFIED,,0.85,0.05,0.1,0.07,0.738,0.73578304865,0.021521788,2,1.00301305032,unified
UNIFIED,,0.85,0.05,0.1,0.09,0.7158,0.713037747497,0.021521788,2,1.00387392184,unified
UNIFIED,,0.85,0.05,0.1,0.1,0.7063,0.703272862111,0.021521788,2,1.0043043576,unified
UNIFIED,,0.85,0.05,0.1,0.2,0.6442,0.638701599829,0.021521788,2,1.0086087152,unified
UNIFIED,,0.85,0.05,0.1,0.3,0.6102,0.602420895125,0.021521788,2,1.0129130728,unified
UNIFIED,,0.85,0.05,0.1,0.4,0.5889,0.578932273868,0.021521788,2,1.0172174304,unified
UNIFIED,,0.85,0.05,0.1,0.5,0.5745,0.562396227617,0.021521788,2,1.021521788,unified
UNIFIED,,0.85,0.05,0.1,0.6,0.5646,0.550385659814,0.021521788,2,1.0258261456,unified
UNIFIED,,0.85,0.05,0.1,0.7,0.5576,0.541290640621,0.021521788,2,1.0301305032,unified
UNIFIED,,0.85,0.05,0.1,0.8,0.5529,0.534494747762,0.021521788,2,1.0344348608,unified
UNIFIED,,0.85,0.05,0.1,0.9,0.5497,0.529199235249,0.021521788,2,1.0387392184,unified
UNIFIED,,0.85,0.05,0.1,1,0.5476,0.525002035006,0.021521788,2,1.043043576,unified
UNIFIED,,0.85,0.05,0.1,1.1,0.5465,0.521794126353,0.021521788,2,1.0473479336,unified
UNIFIED,,0.85,0.05,0.1,1.2,0.546,0.519183008081,0.021521788,2,1.0516522912,unified
UNIFIED,,0.85,0.05,0.1,1.3,0.5461,0.517161382165,0.021521788,2,1.0559566488,unified
UNIFIED,,0.85,0.05,0.1,1.4,0.5465,0.515439119897,0.021521788,2,1.0602610064,unified
UNIFIED,,0.85,0.05,0.1,1.5,0.5472,0.514012590024,0.021521788,2,1.064565364,unified
UNIFIED,,0.85,0.05,0.1,1.6,0.5481,0.512784663017,0.021521788,2,1.0688697216,unified
UNIFIED,,0.85,0.05,0.1,1.7,0.549,0.511566586112,0.021521788,2,1.0731740792,unified
UNIFIED,,0.85,0.05,0.1,1.8,0.5501,0.510543859823,0.021521788,2,1.0774784368,unified
UNIFIED,,0.85,0.05,0.1,1.9,0.5511,0.509436832285,0.021521788,2,1.0817827944,unified
UNIFIED,,0.85,0.05,0.1,2,0.5521,0.508338579444,0.021521788,2,1.086087152,unified
