x_ethanol,molality (kg/mol),gamma
0.1,0.02472,0.8473
0.1,0.04247,0.8069
0.1,0.0715,0.7677
0.1,0.09683,0.7458
0.1,0.1547,0.7094
0.1,0.2234,0.6839
0.1,0.3026,0.6643
0.1,0.4085,0.6463
0.1,0.5031,0.6375
0.1,0.6202,0.6307
0.1,0.7479,0.6268
0.1,0.9324,0.624
0.1,1.123,0.6257
0.1,1.5852,0.6379
0.1,1.9186,0.6748
0.1,2.7493,0.7383
0.1,3.1871,0.7767
0.1,3.5976,0.8198
0.1,4.0701,0.8769
0.1,4.4752,0.9301
0.1,4.867,0.9877
0.2,0.02092,0.8543
0.2,0.03019,0.8241
0.2,0.06741,0.7569
0.2,0.1026,0.7254
0.2,0.137,0.7024
0.2,0.1723,0.6865
0.2,0.2363,0.6625
0.2,0.2613,0.6565
0.2,0.446,0.6417
0.2,0.581,0.6283
0.2,0.8095,0.6169
0.2,1.0538,0.6151
0.2,1.6466,0.6255
0.2,1.8933,0.6407
0.2,2.2031,0.6637
0.2,2.6164,0.6936
0.2,3.0391,0.7325
0.2,3.5292,0.7829
0.2,4.0669,0.8482
0.2,4.4831,0.9061
0.2,4.8163,0.9516
0.4,0.02128,0.8023
0.4,0.04979,0.7254
0.4,0.08557,0.6787
0.4,0.1319,0.641
0.4,0.2237,0.5995
0.4,0.2646,0.5876
0.4,0.3489,0.5728
0.4,0.457,0.5567
0.4,0.601,0.5452
0.4,0.6763,0.5413
0.4,0.8568,0.5345
0.4,1.1654,0.5282
0.4,1.4432,0.5346
0.4,1.741,0.5447
0.4,1.8535,0.5617
0.4,2.2232,0.5824
0.4,2.6011,0.613
0.4,3.0929,0.6601
0.4,3.5227,0.7123
0.4,3.9673,0.7714
0.4,4.1558,0.8007
0.6,0.009836,0.8107
0.6,0.01713,0.747
0.6,0.04117,0.6523
0.6,0.08389,0.5911
0.6,0.13,0.55
0.6,0.1776,0.5225
0.6,0.221,0.5171
0.6,0.2275,0.5033
0.6,0.305,0.4892
0.6,0.3798,0.4736
0.6,0.4519,0.4624
0.6,0.5045,0.4574
0.6,0.6507,0.4444
0.6,1.0572,0.4364
0.6,1.1774,0.4447
0.6,1.4837,0.4527
0.6,1.7878,0.47
0.6,2.0974,0.4924
0.6,2.4626,0.5246
0.6,2.7926,0.5609
0.6,3.0182,0.5878
0.8,0.01367,0.6912
0.8,0.04549,0.5432
0.8,0.07674,0.4874
0.8,0.1169,0.4498
0.8,0.1609,0.4177
0.8,0.2073,0.3931
0.8,0.2551,0.3865
0.8,0.3191,0.3696
0.8,0.3759,0.3595
0.8,0.439,0.3521
0.8,0.5033,0.3472
0.8,0.5891,0.3426
0.8,0.5493,0.3386
0.8,0.6422,0.3325
0.8,0.7499,0.3295
0.8,0.8963,0.3278
0.8,1.0477,0.3296
0.8,1.174,0.3325
0.9,0.008002,0.693
0.9,0.01749,0.5842
0.9,0.03385,0.5046
0.9,0.04887,0.4617
0.9,0.08159,0.4058
0.9,0.1149,0.3704
0.9,0.1495,0.3451
0.9,0.1883,0.3258
0.9,0.2227,0.3145
0.9,0.2399,0.3156
0.9,0.2797,0.3036
0.9,0.3197,0.2951
0.9,0.3592,0.2872
0.9,0.3983,0.2811
0.9,0.4501,0.2747
0.9,0.5005,0.2696
0.9,0.5529,0.2649
0.9,0.6646,0.258
1,0.005689,0.6654
1,0.00876,0.6051
1,0.0117,0.5712
1,0.02013,0.4996
1,0.02995,0.4461
1,0.03782,0.416
1,0.04955,0.3828
1,0.05827,0.3637
1,0.06589,0.3477
1,0.07719,0.3362
1,0.08981,0.3234
1,0.09974,0.3112
1,0.1105,0.3013
1,0.1204,0.2925
1,0.1352,0.2811
1,0.1493,0.2719
1,0.1648,0.2627
1,0.1765,0.257
