methanol_pct,molal,gamma_exp,gamma_cal
0,0.039200,0.842000,0.837000
0,0.060200,0.812000,0.812000
0,0.098800,0.778000,0.782000
0,0.146900,0.755000,0.758000
0,0.208900,0.731000,0.737000
0,0.246800,0.723000,0.728000
0,0.286500,0.716000,0.720000
0,0.347100,0.721000,0.711000
0,0.409400,0.713000,0.704000
0,0.501100,0.705000,0.696000
0,0.589100,0.696000,0.691000
0,0.654300,0.692000,0.689000
0,0.738700,0.689000,0.687000
0,0.844900,0.686000,0.686000
0,1.142500,0.690000,0.689000
0,1.604400,0.716000,0.706000
0,1.917500,0.743000,0.723000
0,2.689100,0.807000,0.782000
0,3.187700,0.857000,0.830000
0,4.070700,0.971000,0.935000
0,4.623700,1.049000,1.015000
10,0.009100,0.917000,0.899000
10,0.023200,0.860000,0.854000
10,0.062600,0.793000,0.795000
10,0.102200,0.760000,0.763000
10,0.145200,0.737000,0.741000
10,0.191700,0.721000,0.723000
10,0.213100,0.714000,0.717000
10,0.299300,0.710000,0.698000
10,0.416800,0.686000,0.681000
10,0.569400,0.682000,0.669000
10,0.869500,0.677000,0.662000
10,1.054600,0.674000,0.663000
10,1.254300,0.680000,0.667000
10,1.451400,0.690000,0.674000
10,1.894100,0.712000,0.698000
10,2.369900,0.746000,0.733000
10,2.836300,0.778000,0.775000
10,3.047900,0.794000,0.796000
20,0.009300,0.898000,0.890000
20,0.035900,0.820000,0.816000
20,0.065400,0.786000,0.776000
20,0.095200,0.758000,0.750000
20,0.127400,0.738000,0.730000
20,0.162900,0.723000,0.713000
20,0.182900,0.719000,0.705000
20,0.229700,0.703000,0.691000
20,0.319600,0.686000,0.671000
20,0.395100,0.678000,0.659000
20,0.464800,0.668000,0.652000
20,0.600700,0.657000,0.642000
20,0.808700,0.648000,0.635000
20,1.160100,0.653000,0.637000
20,1.444200,0.661000,0.646000
20,1.838100,0.680000,0.666000
20,2.467400,0.719000,0.714000
20,3.031800,0.756000,0.771000
40,0.012600,0.847000,0.853000
40,0.037200,0.779000,0.781000
40,0.065600,0.732000,0.738000
40,0.089900,0.695000,0.713000
40,0.103600,0.684000,0.702000
40,0.131400,0.668000,0.683000
40,0.157200,0.651000,0.669000
40,0.169800,0.648000,0.663000
40,0.189400,0.640000,0.654000
40,0.250900,0.621000,0.634000
40,0.375900,0.589000,0.607000
40,0.824500,0.558000,0.574000
40,1.092600,0.579000,0.573000
40,1.383800,0.581000,0.581000
40,1.888200,0.601000,0.609000
40,2.302900,0.627000,0.642000
40,2.697800,0.647000,0.682000
40,2.987900,0.685000,0.715000
60,0.011900,0.830000,0.828000
60,0.036400,0.748000,0.743000
60,0.064400,0.694000,0.693000
60,0.087700,0.672000,0.665000
60,0.109400,0.657000,0.645000
60,0.130600,0.640000,0.629000
60,0.152200,0.628000,0.615000
60,0.162100,0.625000,0.610000
60,0.171300,0.620000,0.605000
60,0.199300,0.611000,0.592000
60,0.263200,0.589000,0.569000
60,0.603900,0.557000,0.515000
60,1.049100,0.538000,0.504000
60,1.299400,0.544000,0.510000
60,1.694300,0.559000,0.530000
60,2.148100,0.589000,0.567000
60,2.535000,0.628000,0.609000
60,3.019100,0.670000,0.675000
80,0.008100,0.807000,0.822000
80,0.036400,0.665000,0.694000
80,0.066500,0.607000,0.634000
80,0.097000,0.573000,0.595000
80,0.110700,0.559000,0.582000
80,0.136200,0.544000,0.561000
80,0.159600,0.530000,0.546000
80,0.181300,0.518000,0.533000
80,0.198000,0.511000,0.525000
80,0.432400,0.445000,0.461000
80,0.626800,0.432000,0.441000
80,1.213400,0.457000,0.438000
80,1.415100,0.464000,0.448000
80,1.698300,0.477000,0.468000
80,1.849800,0.487000,0.482000
80,2.033400,0.503000,0.501000
80,2.291900,0.529000,0.534000
80,2.543600,0.547000,0.570000
90,0.010200,0.763000,0.786000
90,0.046400,0.611000,0.642000
90,0.087700,0.547000,0.574000
90,0.109200,0.526000,0.551000
90,0.149000,0.500000,0.518000
90,0.186000,0.482000,0.496000
90,0.216400,0.470000,0.482000
90,0.292100,0.450000,0.455000
90,0.425000,0.427000,0.426000
90,0.481100,0.420000,0.419000
90,0.551600,0.415000,0.411000
90,0.774000,0.411000,0.400000
90,0.910600,0.419000,0.399000
90,1.114600,0.425000,0.403000
90,1.408900,0.440000,0.420000
90,1.570900,0.451000,0.433000
90,1.868500,0.478000,0.464000
90,2.018600,0.495000,0.483000
100,0.010200,0.718000,0.766000
100,0.042700,0.566000,0.623000
100,0.072100,0.511000,0.565000
100,0.082600,0.497000,0.550000
100,0.109200,0.472000,0.520000
100,0.121400,0.464000,0.508000
100,0.141000,0.451000,0.492000
100,0.150000,0.446000,0.486000
100,0.168500,0.436000,0.474000
100,0.184600,0.419000,0.465000
100,0.208800,0.408000,0.453000
100,0.424600,0.369000,0.395000
100,0.551700,0.362000,0.381000
100,0.849200,0.365000,0.372000
100,1.030000,0.370000,0.377000
100,1.131500,0.375000,0.383000
100,1.347900,0.391000,0.399000
100,1.513100,0.408000,0.415000
