entry_type,name,parameter,set_key,value
component,Br-,e,2005,524.0636
component,Br-,s,2005,3.8225
component,Cl-,e,2005,359.6604
component,Cl-,s,2005,3.5991
component,H2O,e,salt_2005,365.956
component,H2O,e_assoc,salt_2005,2515.6706
component,H2O,m,salt_2005,1.09528
component,H2O,s,salt_2005,2.8898
component,H2O,vol_a,salt_2005,0.0348679836
component,I-,e,2005,413.0494
component,I-,s,2005,4.1766
component,K+,e,2005,8.8773
component,K+,s,2005,2.7602
component,Li+,e,2005,1110.9261
component,Li+,s,2005,1.8059
component,Na+,e,2005,119.806
component,Na+,s,2005,1.6262
