molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.927167001646,0.927
0.01,0.902324995651,0.902
0.02,0.870626931744,0.87
0.05,0.818471848376,0.817
0.1,0.773777956176,0.771
0.2,0.727202812864,0.722
0.3,0.700490753424,0.693
0.4,0.682699426752,0.673
0.5,0.66985405424,0.658
0.6,0.659965445056,0.646
0.7,0.653066026704,0.637
0.8,0.647130577792,0.629
0.9,0.642169907488,0.622
1,0.63923085552,0.617
1.2,0.634287896576,0.608
1.4,0.632366555968,0.602
1.6,0.632474039808,0.598
1.8,0.63358872976,0.595
2,0.63573224416,0.593
2.5,0.6453252288,0.592
3,0.6593145496,0.595
3.5,0.675664176,0.6
4,0.69562632192,0.608
4.5,0.71703884984,0.617
5,0.7387756528,0.626
5.5,0.76323306696,0.637
